Dataset,Source,Domain,Frequency,Chronos,TimesFM,Moirai,Moirai-MoE,Time-GPT,ForecastPFN,MOMENT,Lag-Llama,GPT4TS,Timer,VisionTS,TTM,LLMTime,Time-LMM,UniTime,Time-MoE,Chronos-2,Flowstate,LightGTS,Sundial,TabPFN-TS,Time-MoE2,TinyTimeMixer,TiRex,Toto,YingLong (under review),Gift-Eval,Flowstate(T),TimesFM-ICL,ROSE
Weather (US),Other,Weather,W,,P,,,,,,,,,,,ZS,,,,,,,,,,,,,,,,,
Bike Sharing,Other,Transport,W,,,,,,,,,,,,ZS,ZS,,,,,,,,,,,,,,,,,
CC Carbon,Other,Energy,W,,,,,,,,,,,,ZS,,,,,,,,,,,,,,,,,,
Air Quality,Other,Nature,W,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,
Beijing PM 2.5,Other,Nature,W,,,,,,,,ZS,,,,,,,,,,,,,,,,,,,,,,
TDBrain,Other,Healthcare,W,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,P
SensorData,Other,IoT,W,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,
BDG-2 Bull,"ProEnFo (Wang et al., 2023b)",Energy,W,,,P,P,,,,,,,,,,,,P,,P,,P,,,,,P,,P,,,
BDG-2 Cockatoo,"ProEnFo (Wang et al., 2023b)",Energy,W,,,P,P,,,,,,,,,,,,P,,P,,P,,,,,P,,P,,,
BDG-2 Hog,"ProEnFo (Wang et al., 2023b)",Energy,W,,,P,P,,,,,,,,,,,,P,,P,,P,,,,,P,,P,,,
Covid19 Energy,"ProEnFo (Wang et al., 2023b)",Energy,W,,,P,P,,,,,,,,,,,,P,,P,,P,,,,,P,,P,,,
ELF,"ProEnFo (Wang et al., 2023b)",Energy,W,,,P,P,,,,,,,,,,,,,,P,,P,,,,,P,,P,,,
GEF12,"ProEnFo (Wang et al., 2023b)",Energy,W,,,P,P,,,,,,,,,,,,P,,P,,P,,,,,P,,P,,,
GEF14,"ProEnFo (Wang et al., 2023b)",Energy,W,,,P,P,,,,,,,,,,,,P,,P,,P,,,,,P,,P,,,
GEF17,"ProEnFo (Wang et al., 2023b)",Energy,W,,,P,P,,,,,,,,,,,,,,P,,P,,,,,P,,P,,,
PDB,"ProEnFo (Wang et al., 2023b)",Energy,W,,,P,P,,,,,,,,,,,,P,,P,,P,,,,,P,,P,,,
Spanish,"ProEnFo (Wang et al., 2023b)",Energy,W,P,,P,P,,,,,,,,,,,,P,,P,,P,,,,P,P,,P,P,,
Australia Rainfall,"Tan et al., 2021",Nature,W,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,
Beijing PM 2.5,"Tan et al., 2021",Nature,W,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,
BenzeneConcentration,"Tan et al., 2021",Nature,W,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,
IEEEPPG,"Tan et al., 2021",Healthcare,W,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,
BIDMC32HR,"Tan et al., 2021",Healthcare,W,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,
Dodger,"TSB-UAD (Paparrizos et al., 2022)",Traffic,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
ECG,"TSB-UAD (Paparrizos et al., 2022)",Healthcare,W,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,
IOPS,"TSB-UAD (Paparrizos et al., 2022)",Web,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
KDD21,"TSB-UAD (Paparrizos et al., 2022)",Multiple,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
MGAB,"TSB-UAD (Paparrizos et al., 2022)",Synthetic,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
NAB,"TSB-UAD (Paparrizos et al., 2022)",Web,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
SensorScope,"TSB-UAD (Paparrizos et al., 2022)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
YAHOO,"TSB-UAD (Paparrizos et al., 2022)",Web,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
NASA-MSL,"TSB-UAD (Paparrizos et al., 2022)",Sensor,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
NASA-SMAP,"TSB-UAD (Paparrizos et al., 2022)",Sensor,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Daphnet,"TSB-UAD (Paparrizos et al., 2022)",Gait,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
GHL,"TSB-UAD (Paparrizos et al., 2022)",Sensor,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Genesis,"TSB-UAD (Paparrizos et al., 2022)",Sensor,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
MITDB,"TSB-UAD (Paparrizos et al., 2022)",Healthcare,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
OPP,"TSB-UAD (Paparrizos et al., 2022)",Sensor,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Occupancy,"TSB-UAD (Paparrizos et al., 2022)",Sensor,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
SMD,"TSB-UAD (Paparrizos et al., 2022)",Web,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
SZSDB,"TSB-UAD (Paparrizos et al., 2022)",Healthcare,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Electricity,"UCI ML Archive (Trindade, 2015)",Energy,W,T/T,P,,,,,T/T,,,,,,,,,P,ZS,,,T/T,,,,T/T,T/T,,ZS,P,,
Electricity,"UCI ML Archive (Trindade, 2015)",Energy,W,T/T,P,ZS,ZS,,,T/T,P,T/T,ZS,ZS,ZS,ZS,T/T,T/T,,ZS,,T/T,ZS,,,,T/T,T/T,,ZS,P,P,T/T
Electricity,"UCI ML Archive (Trindade, 2015)",Energy,W,,,,,,ZS,,,,,,,,,,,ZS,,,,,,,ZS,T/T,,ZS,,,
Electricity,"UCI ML Archive (Trindade, 2015)",Energy,W,T/T,,,,,,,,,,,,,,,,ZS,,,,,,,T/T,T/T,,ZS,,,
Electricity,"UCI ML Archive (Trindade, 2015)",Energy,W,,,,,,,,,T/T,,,,,,,,,,,,,,,,T/T,,,,,
Electricity,"UCI ML Archive (Trindade, 2015)",Energy,W,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,P,,
SemgHandGenderCh2,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
GestureMidAirD2,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
UWaveGestureLibraryAll,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,T/T,,,,,,,,,,,,,,,,,,,,,,,
SelfRegulationSCP1,"UCR Archive (Ismail Fawaz et al., 2019)",Healthcare,W,,,,,,,P,,,P,,,,,,,,,P,,,,,,,,,,,P
UWaveGestureLibraryX,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
GesturePebbleZ2,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Healthcare5000 (orignally: ECG5000),"UCR Archive (Ismail Fawaz et al., 2019)",Healthcare,W,,,,,,,T/T,,,,,,,,,,,,,P,,,,,,,,,,
OSULeaf,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,T/T,,,,,,,,,,,,,,,,,,,,,,,
MedicalImages,"UCR Archive (Ismail Fawaz et al., 2019)",Healthcare,W,,,,,,,T/T,,,,,,,,,,,,,,,,,,,,,,,
Haptics,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
LargeKitchenAppliances,"UCR Archive (Ismail Fawaz et al., 2019)",Power,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Japanesevowels,"UCR Archive (Ismail Fawaz et al., 2019)",Audio,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Worms,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,P
Ham,"UCR Archive (Ismail Fawaz et al., 2019)",Facilities,W,,,,,,,T/T,,,,,,,,,,,,,,,,,,,,,,,
DistalPhalanxTW,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
ProximalPhalanxOutlineCorrect,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
SemgHandMovementCh2,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
RefrigerationDevices,"UCR Archive (Ismail Fawaz et al., 2019)",Power,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
FreezerRegularTrain,"UCR Archive (Ismail Fawaz et al., 2019)",Facilities,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
PigAirwayPressure,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
TwoLeadECG,"UCR Archive (Ismail Fawaz et al., 2019)",Healthcare,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
GunPointMaleversusFemale,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Trace,"UCR Archive (Ismail Fawaz et al., 2019)",Power,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
SmoothSubspace,"UCR Archive (Ismail Fawaz et al., 2019)",Generated,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
MiddlePhalanxTW,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
AtrialFibrillation,"UCR Archive (Ismail Fawaz et al., 2019)",Healthcare,W,,,,,,,P,,,P,,,,,,,,,P,,,,,,,,,,,P
SyntheticControl,"UCR Archive (Ismail Fawaz et al., 2019)",Generated,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
ShapesAll,"UCR Archive (Ismail Fawaz et al., 2019)",Generated,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Human,"UCR Archive (Ismail Fawaz et al., 2019)",BodyZSerticalSignal,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
PLAID,"UCR Archive (Ismail Fawaz et al., 2019)",Facilities,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
AllGestureWiimoteX,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Heartbeat,"UCR Archive (Ismail Fawaz et al., 2019)",Healthcare,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Wafer,"UCR Archive (Ismail Fawaz et al., 2019)",Facilities,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
FaceFour,"UCR Archive (Ismail Fawaz et al., 2019)",Generated,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Phoneme,"UCR Archive (Ismail Fawaz et al., 2019)",Audio,W,,,,,,,P,,,P,,,,,,,,,P,,,,,,,,,,,P
InlineSkate,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
CricketX,"UCR Archive (Ismail Fawaz et al., 2019)",Human Body,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
SelfRegulationSCP2,"UCR Archive (Ismail Fawaz et al., 2019)",Healthcare,W,,,,,,,P,,,P,,,,,,,,,P,,,,,,,,,,,P
DistalPhalanxOutlineCorrect,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
ChlorineConcentration,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Chinatown,"UCR Archive (Ismail Fawaz et al., 2019)",Traffic,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
GestureMidAirD1,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
MiddlePhalanxOutlineAgeGroup,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
UMD,"UCR Archive (Ismail Fawaz et al., 2019)",Generated,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Crop,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
PenDigits,"UCR Archive (Ismail Fawaz et al., 2019)",Facilities,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
GesturePebbleZ1,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Handwriting,"UCR Archive (Ismail Fawaz et al., 2019)",Facilities,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Mallat,"UCR Archive (Ismail Fawaz et al., 2019)",Generated,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
ERing,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
StarLightCurves,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,P,,,,,,,,,P,,,,,,,,,,,P
WordSynonyms,"UCR Archive (Ismail Fawaz et al., 2019)",Audio,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
PEMS-SF,"UCR Archive (Ismail Fawaz et al., 2019)",Traffic,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
FaceDetection,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Computers,"UCR Archive (Ismail Fawaz et al., 2019)",Power,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
ArrowHead,"UCR Archive (Ismail Fawaz et al., 2019)",Generated,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Wine,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Coffee,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Earthquakes,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Herring,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Lightning2,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Beef,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
MiddlePhalanxOutlineCorrect,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
HealthcareFiveDays,"UCR Archive (Ismail Fawaz et al., 2019)",Healthcare,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Yoga,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Adiac,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
HandMovementDirection,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
MoteStrain,"UCR Archive (Ismail Fawaz et al., 2019)",Facilities,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Rock,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Strawberry,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
InsectWingbeatSound,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
DodgerLoopWeekend,"UCR Archive (Ismail Fawaz et al., 2019)",Traffic,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
MixedShapesSmallTrain,"UCR Archive (Ismail Fawaz et al., 2019)",Generated,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
EthanolConcentration,"UCR Archive (Ismail Fawaz et al., 2019)",Power,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
OliveOil,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Meat,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
MelbournePedestrian,"UCR Archive (Ismail Fawaz et al., 2019)",Traffic,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Car,"UCR Archive (Ismail Fawaz et al., 2019)",Facilities,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
FaceAll,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
FacesUCR,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
AllGestureWiimoteY,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
NATOPS,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
SemgHandSubjectCh2,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
ShakeGestureWiimoteZ,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Cricket,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
BME,"UCR Archive (Ismail Fawaz et al., 2019)",Generated,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
EigenWorms,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,P,,,,,,,,,P,,,,,,,,,,,P
FordB,"UCR Archive (Ismail Fawaz et al., 2019)",Facilities,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
NonInvasiveFetalHealthcareThorax1,"UCR Archive (Ismail Fawaz et al., 2019)",Healthcare,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
UWaveGestureLibrary,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
CinCHealthcareTorso,"UCR Archive (Ismail Fawaz et al., 2019)",Healthcare,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
PigArtPressure,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,P,,,,,,,,,P,,,,,,,,,,,P
Fish,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
SonyAIBORobotSurface2,"UCR Archive (Ismail Fawaz et al., 2019)",Facilities,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
FiftyWords,"UCR Archive (Ismail Fawaz et al., 2019)",Facilities,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
MotorImagery,"UCR Archive (Ismail Fawaz et al., 2019)",Healthcare,W,,,,,,,P,,,P,,,,,,,,,P,,,,,,,,,,,P
ToeSegmentation1,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
PhonemeSpectra,"UCR Archive (Ismail Fawaz et al., 2019)",Audio,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
FreezerSmallTrain,"UCR Archive (Ismail Fawaz et al., 2019)",Facilities,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
TwoPatterns,"UCR Archive (Ismail Fawaz et al., 2019)",Generated,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
ShapeletSim,"UCR Archive (Ismail Fawaz et al., 2019)",Generated,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Plane,"UCR Archive (Ismail Fawaz et al., 2019)",Generated,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
GestureMidAirD3,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
DiatomSizeReduction,"UCR Archive (Ismail Fawaz et al., 2019)",Generated,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Human,"UCR Archive (Ismail Fawaz et al., 2019)",BodyHorizontalSignal,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
CricketZ,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
StandWalkJump,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
WormsTwoClass,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Lightning7,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
UWaveGestureLibraryY,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
GunPointAgeSpan,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
DistalPhalanxOutlineAgeGroup,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
SwedishLeaf,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
LSST,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
CBF,"UCR Archive (Ismail Fawaz et al., 2019)",Generated,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
BeetleFly,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Libras,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
HouseTwenty,"UCR Archive (Ismail Fawaz et al., 2019)",Facilities,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
ScreenType,"UCR Archive (Ismail Fawaz et al., 2019)",Facilities,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
InsectEPGSmallTrain,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
AllGestureWiimoteZ,"UCR Archive (Ismail Fawaz et al., 2019)",Sensor,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
DodgerLoopDay,"UCR Archive (Ismail Fawaz et al., 2019)",Sensor,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
NonInZSasiZSeFetalHealthcareThorax2,"UCR Archive (Ismail Fawaz et al., 2019)",Healthcare,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
BasicHuman,"UCR Archive (Ismail Fawaz et al., 2019)",Bodys,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
GunPointOldversusYoung,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
FordA,"UCR Archive (Ismail Fawaz et al., 2019)",Sensor,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
InsectWingbeat,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
ItalyPowerDemand,"UCR Archive (Ismail Fawaz et al., 2019)",Power,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
ProximalPhalanxOutlineAgeGroup,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
ACSF1,"UCR Archive (Ismail Fawaz et al., 2019)",Power,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
GunPoint,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
RacketSports,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
SmallKitchenAppliances,"UCR Archive (Ismail Fawaz et al., 2019)",Power,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
ProximalPhalanxTW,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
DuckDuckGeese,"UCR Archive (Ismail Fawaz et al., 2019)",Facilities,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
PickupGestureWiimoteZ,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
EthanolLevel,"UCR Archive (Ismail Fawaz et al., 2019)",Power,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
SpokenArabicDigits,"UCR Archive (Ismail Fawaz et al., 2019)",Audio,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
SonyAIBORobotSurface1,"UCR Archive (Ismail Fawaz et al., 2019)",Facilities,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
HandOutlines,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
PowerCons,"UCR Archive (Ismail Fawaz et al., 2019)",Power,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
PhalangesOutlinesCorrect,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
BirdChicken,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
ToeSegmentation2,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
PigCVP,"UCR Archive (Ismail Fawaz et al., 2019)",Healthcare,W,,,,,,,P,,,P,,,,,,,,,P,,,,,,,,,,,P
CricketY,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
FingerMovements,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
ElectricDevices,"UCR Archive (Ismail Fawaz et al., 2019)",Power,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
InsectEPGRegularTrain,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
DodgerLoopGame,"UCR Archive (Ismail Fawaz et al., 2019)",Traffic,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Fungi,"UCR Archive (Ismail Fawaz et al., 2019)",Nature,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
